"";"Overall";"Female";"Male";"p";"test"
"n";"   139";"    64";"    75";"";""
"Age (mean (SD))";" 52.46 (10.34)";" 50.77 (11.04)";" 53.91 (9.54)";" 0.074";""
"Age_cat = Young (%)";"    58 (41.7) ";"    35 (54.7) ";"    23 ( 30.7) ";" 0.007";""
"Sex = Male (%)";"    75 (54.0) ";"     0 ( 0.0) ";"    75 (100.0) ";"<0.001";""
"Ethnicity (%)";"    ";"    ";"    ";" 0.007";""
"   NL";"    25 (18.0) ";"     7 (10.9) ";"    18 ( 24.0) ";"";""
"   Hind";"    39 (28.1) ";"    13 (20.3) ";"    26 ( 34.7) ";"";""
"   Creools";"    40 (28.8) ";"    26 (40.6) ";"    14 ( 18.7) ";"";""
"   Ghanees";"    35 (25.2) ";"    18 (28.1) ";"    17 ( 22.7) ";"";""
"BMI (mean (SD))";" 28.08 (4.94)";" 29.06 (6.06)";" 27.23 (3.56)";" 0.029";""
"CurrSmoking = Yes (%)";"    26 (18.7) ";"     8 (12.5) ";"    18 ( 24.0) ";" 0.130";""
"CVD = Ja (%)";"    22 (16.1) ";"    12 (19.0) ";"    10 ( 13.5) ";" 0.518";""
"DM = Diabetes (%)";"    17 (12.2) ";"     5 ( 7.8) ";"    12 ( 16.0) ";" 0.227";""
"HT = Ja (%)";"    85 (61.2) ";"    33 (51.6) ";"    52 ( 69.3) ";" 0.049";""
"AntiHT = Ja (%)";"    43 (30.9) ";"    16 (25.0) ";"    27 ( 36.0) ";" 0.225";""
"SBP (mean (SD))";"137.26 (20.95)";"132.99 (20.67)";"140.89 (20.64)";" 0.026";""
"DBP (mean (SD))";" 83.26 (11.37)";" 79.24 (10.44)";" 86.69 (11.06)";"<0.001";""
"BRS (mean (SD))";" 11.80 (6.57)";" 13.55 (7.53)";" 10.30 (5.23)";" 0.003";""
"SDNN (mean (SD))";"  0.05 (0.02)";"  0.05 (0.02)";"  0.05 (0.02)";" 0.358";""
"CKDEPI (mean (SD))";" 93.81 (19.90)";" 99.37 (18.82)";" 89.06 (19.68)";" 0.002";""
"ACR_KDIGO = A2 Moderately increased (ACR 3-30 mg/mmol) (%)";"    69 (49.6) ";"    31 (48.4) ";"    38 ( 50.7) ";" 0.927";""
